LOCATION,POPULATION
Lefkosia District,"326,980"
Lefkosia Municipality,"55,014"
Agios Andreas,"5,767"
Trypiotis,"2,158"
Nempetchane,189
Tampakchane,299
Faneromeni,512
Agios Savvas,581
Omerie,206
Agios Antonios,"5,801"
Agios Ioannis,221
Taktelkale,826
Chrysaliniotissa,124
Agios Kassianos ,82
Kaïmakli ,"11,564"
Panagia,"12,398"
Agioi Konstantinos kai Eleni,"3,209"
Agioi Omologitai,"10,528"
Arap Achmet ,50
Geni Tzami ,215
Omorfita ,284
Agios Dometios Municipality,"12,456"
Agios Pavlos ,"3,189"
Agios Georgios ,"9,267"
Egkomi Municipality,"18,010"
Strovolos Municipality,"67,904"
Chryseleousa,"17,386"
Agios Dimitrios,"11,464"
Apostolos Varnavas kai Agios Makarios,"13,995"
Agios Vasileios,"22,251"
Ethnomartyras Kyprianos,"1,624"
Stavros,"1,184"
Aglantzia Municipality,"20,783"
Lakatameia Municipality,"38,345"
Agios Mamas,986
Agia Paraskevi,"15,024"
Archangelos - Anthoupoli,"15,053"
Agios Nikolaos,"7,282"
Synoikismos Anthoupolis,"1,756"
Latsia Municipality,"16,774"
Agios Georgios,"13,046"
Agios Eleftherios,"2,351"
Archangelos Michail,"1,377"
Geri ,"8,235"
Sia,754
Mathiatis,646
Alampra,"1,585"
Agia Varvara Lefkosias,"2,204"
Kotsiatis,160
Nisou,"2,179"
Pera Chorio,"2,637"
Dali Municipality,"10,466"
Agioi Konstantinos kai Eleni,"4,106"
Panagia Evangelistria ,"6,360"
Lympia,"2,694"
Lythrodontas ,"3,043"
Louroukina ,11
Potamia,505
Agios Sozomenos,11
Kampi,97
Farmakas,480
Apliki,87
Lazanias ,39
Gourri,196
Fikardou ,15
Agios Epifanios Oreinis,412
Kalo Chorio Oreinis,734
Malounta,490
Klirou,"1,847"
Arediou,"1,225"
Agios Ioannis Malountas,472
Agrokipia,509
Mitsero ,860
Kapedes,572
Kataliontas,24
Analiontas ,443
Kampia,475
Margi,146
Tseri,"7,035"
Politiko ,419
Pera,"1,372"
Episkopeio,524
Psimolofou,"1,626"
Ergates,"1,792"
Anageia,"1,514"
Pano Deftera,"2,789"
Kato Deftera,"2,054"
Agioi Trimithias,"1,529"
Palaiometocho,"4,145"
Deneia ,373
Kokkinotrimithia,"4,077"
Mammari ,"1,592"
Palaichori Morfou,686
Askas,170
Alona,67
Fterikoudi,90
Polystypos,128
Lagoudera,84
Saranti,44
Livadia Lefkosias,18
Alithinou,9
Platanistasa,117
Palaichori Oreinis,333
Xyliatos,138
Agios Georgios Kafkallou,26
Nikitari ,447
Vyzakia,347
Agia Marina Xyliatou,568
Agioi Iliofotoi,60
Kato Moni,339
Orounta,604
Pano Koutrafas,4
Kato Koutrafas ,17
Potami,558
Pano Zodeia ,15
Akaki,"3,003"
Peristerona Lefkosias,"2,226"
Astromeritis,"2,307"
Meniko,"1,023"
Spilia,123
Agios Antonios,104
Kourdali,19
Agia Eirini Lefkosias,27
Kannavia ,129
Kakopetria ,"1,274"
Agios Theodoros Soleas,49
Galata,581
Sinaoros,228
Kaliana,200
Temvria,498
Korakou ,521
Evrychou,827
Flasou,240
Agios Epifanios Soleas,0
Linou,161
Katydata,114
Skouriotissa (Foukasa),11
Pedoulas,132
Mylikouri,17
Moutoullas,174
Oikos,158
Kalopanagiotis ,263
Gerakies,75
Tsakistra ,79
Kampos,271
Pano Pyrgos,22
Kato Pyrgos,"1,036"
Pigenia ,107
Pachyammos,70
Agios Theodoros Tillirias,0
Mansoura ,9
Mosfili ,20
Ammochostos District,"46,629"
Agia Napa,"3,212"
Paralimni ,"14,963"
Deryneia ,"5,844"
Sotira Ammochostou,"5,474"
Liopetri,"4,591"
Frenaros,"4,298"
Avgorou ,"4,604"
Achna ,"2,087"
Acheritou ,"1,556"
Larnaka District,"143,192"
Larnaka Municipality,"51,468"
Skala,"6,103"
Chrysopolitissa,"7,980"
Sotiros,"13,383"
Archiepiskopos Makarios III,991
Tsakilero,"1,873"
Kokkines,"1,495"
Agios Nikolaos,"16,887"
Agioi Anargyroi I,996
Agioi Anargyroi II,"1,281"
Kamares,479
Aradippou Municipality,"19,228"
Agios Fanourios ,"8,868"
Apostolos Loukas,"7,143"
Vlachos,"3,217"
Livadia Larnakas,"7,206"
Dromolaxia,"5,064"
Meneou,"1,625"
Kellia,387
Troulloi ,"1,175"
Voroklini (Oroklini),"6,134"
Avdellero,218
Pyla,"2,771"
Xylotymvou ,"3,655"
Ormideia,"4,189"
Xylofagou,"6,231"
